time_start	duration	lights	brightness_start	r_start	g_start	b_start	brightness_end	r_end	g_end	b_end	easing
0	1.1	all	0	0	0	0	0	0	0	0	linear
1.1	2	robot6	0	0	0	0	50	255	255	255	ease_in
5.7	2	robot5	0	0	0	0	50	255	255	255	ease_in
10.3	2	robot4	0	0	0	0	50	255	255	255	ease_in
14.5	2	robot3	0	0	0	0	50	255	255	255	ease_in
19.0	2	robot2	0	0	0	0	50	255	255	255	ease_in
23.2	2	robot1	0	0	0	0	50	255	255	255	ease_in
23.3	5	all	50	255	255	255	255	255	140	0	ease
35	5	all	210	255	140	0	255	255	0	0	linear
40	5	all	210	255	0	0	255	255	140	0	linear
45	5	all	210	255	140	0	255	255	0	0	linear
50	5	all	210	255	0	0	255	255	140	0	linear
55	5	all	210	255	140	0	255	255	0	0	linear
60	5	all	210	255	0	0	255	255	140	0	linear
65	5	all	210	255	140	0	255	255	0	0	linear
70	5	all	210	255	0	0	255	255	140	0	linear
75	5	all	210	255	140	0	255	255	0	0	linear
80	5	all	210	255	0	0	255	255	140	0	linear
85	5	all	210	255	140	0	255	255	0	0	linear
90	5	all	210	255	0	0	255	255	140	0	linear
95	5	all	210	255	140	0	255	255	0	0	linear
100	0.5	all	210	255	0	0	255	255	140	0	linear
100.5	2	all	255	255	140	0	255	160	0	255	linear
102.5	2	all	255	160	0	255	255	255	0	0	linear
104.5	2	all	255	255	0	0	255	160	0	255	linear
106.5	2	all	255	160	0	255	255	255	0	0	linear
108.5	2	all	255	255	0	0	255	160	0	255	linear
110.5	2	all	255	160	0	255	255	255	0	0	linear
112.5	2	all	255	255	0	0	255	160	0	255	linear
114.5	2	all	255	160	0	255	255	255	0	0	linear
116.5	2	all	255	255	0	0	255	160	0	255	linear
118.5	2	all	255	160	0	255	255	255	0	0	linear
120.5	2	all	255	255	0	0	255	160	0	255	linear
122.5	2	all	255	160	0	255	255	255	0	0	linear
124.5	2	all	255	255	0	0	255	160	0	255	linear
126.5	2	all	255	160	0	255	255	255	0	0	linear
128.5	2	all	255	255	0	0	255	160	0	255	linear
130.5	2	all	255	160	0	255	255	255	0	0	linear
132.5	2	all	255	255	0	0	255	160	0	255	linear
134.5	2	all	255	160	0	255	255	255	0	0	linear
136.5	2	all	255	255	0	0	255	160	0	255	linear
138.5	2	all	255	160	0	255	255	255	0	0	linear
140.5	2	all	255	255	0	0	255	160	0	255	linear
142.5	2	all	255	160	0	255	255	255	0	0	linear
144.5	2	all	255	255	0	0	255	160	0	255	linear
146.5	2	all	255	160	0	255	255	255	0	0	linear
148.5	2	all	255	255	0	0	255	160	0	255	linear
150.5	2	all	255	160	0	255	255	255	0	0	linear
152.5	2	all	255	255	0	0	255	160	0	255	linear
154.5	2	all	255	160	0	255	255	255	0	0	linear
156.5	2	all	255	255	0	0	255	160	0	255	linear
158.5	2	all	255	160	0	255	255	255	0	0	linear
160.5	2	all	255	255	0	0	255	160	0	255	linear
162.5	2	all	255	160	0	255	255	255	0	0	linear
164.5	2	all	255	255	0	0	255	160	0	255	linear
166.5	2	all	255	160	0	255	255	255	0	0	linear
168.5	2	all	255	255	0	0	255	160	0	255	linear
