time_start	duration	fade	behavior	params_start	params_end							
1	.1	0.0	sine	robot_mask=0,0,0,0,0,0 phase_theta=0.0 theta_velocity=0 frequency_phi=0 amplitude_phi=0 bias_phi=85 phase_shift=0 phase_theta=0	
1.1	4.6	0.0	sine	robot_mask=0,0,0,0,0,1 theta_velocity=0.570 frequency_phi=0 amplitude_phi=0 bias_phi=85 phase_shift=0 phase_theta=0								
5.7	4.6	0.0	sine	robot_mask=0,0,0,0,1,1								
10.3	4.6	0.0	sine	robot_mask=0,0,0,1,1,1								
14.5	4.6	0.0	sine	robot_mask=0,0,1,1,1,1								
19.0	4.6	0.0	sine	robot_mask=0,1,1,1,1,1								
23.2	4.6	0.0	sine	robot_mask=1,1,1,1,1,1	bias_phi=85	bias_phi=70						
28	72.5	0	sine	phase_theta=0.0	phase_theta=90.0 phase_shift=.2							
45	26	0	sine	theta_velocity=0.570	theta_velocity=0.76							
71	25	0	sine	theta_velocity=0.76	theta_velocity=0.57
96	2	0	sine	theta_velocity=0.57	theta_velocity=-0.3125						
98	2.5	0	motor_homing	phi_target=na
100.5	0.5	0	sine	theta_velocity=0	theta_velocity=0.7
101	49.5	0	sine	robot_mask=1,1,1,1,1,1 theta_velocity=0.7 frequency_phi=0.7 amplitude_phi=30 bias_phi=75 phase_shift=0 phase_theta=0	theta_velocity=0.78 frequency_phi=0.4 bias_phi=75 phase_shift=1 phase_theta=0							
150.5	30	0	sine	theta_velocity=0.78 frequency_phi=0.4 bias_phi=85 phase_theta=0	theta_velocity=0.7 frequency_phi=0.5 bias_phi=85 phase_shift=0 phase_theta=0							
187.5	5	0	sine	theta_velocity=0.7 frequency_phi=0.4 bias_phi=85 phase_theta=0	theta_velocity=.65 frequency_phi=0.2 bias_phi=75 phase_shift=0 phase_theta=0							
232	5	0	sine	theta_velocity=.65 frequency_phi=0.2 bias_phi=75 phase_shift=0 phase_theta=0	theta_velocity=0.75 frequency_phi=1.3 amplitude_phi=20 bias_phi=90 phase_shift=.3 phase_theta=0							
256	10	0	sine	theta_velocity=0.75 frequency_phi=1.3 amplitude_phi=20 bias_phi=90 phase_shift=.3 phase_theta=0	theta_velocity=0.65 frequency_phi=0.8 amplitude_phi=20 bias_phi=90 phase_theta=0 phase_shift=1.5							
266	6	0	sine	theta_velocity=0.65 frequency_phi=0.8 amplitude_phi=20 bias_phi=90 phase_theta=1.5	theta_velocity=0.8 frequency_phi=0.8 bias_phi=90 phase_shift=.75 phase_theta=.75							
272	16	0	sine	theta_velocity=0.8 frequency_phi=0.8 bias_phi=90 phase_shift=.75 phase_theta=.75	theta_velocity=0.8 frequency_phi=0.2 bias_phi=90 phase_shift=.75 phase_theta=.75							
288.5	.05	0	sine	theta_velocity=0.8	theta_velocity=-0.8							
295	.1	0	sine	theta_velocity=-0.8	theta_velocity=0.8							
302	.1	0	sine	theta_velocity=0.8	theta_velocity=-0.8							
305	.1	0	sine	theta_velocity=-0.8	theta_velocity=0.8	
310	.1	0	sine	theta_velocity=0.8	theta_velocity=-0.8	
315	.1	0	sine	theta_velocity=-0.8	theta_velocity=0.8	
320	5	0	sine	theta_velocity=0.8	theta_velocity=0.7	frequency_phi=0 phase_shift=0	
345	2	0	sine	theta_velocity=0.7	theta_velocity=-0.3125
347	2	0	motor_homing	
349.54	0.3	0	sine	theta_velocity=0 frequency_phi=0 amplitude_phi=0 bias_phi=90 phase_shift=0 phase_theta=0	theta_velocity=0.6875								
349.84	2.16	0	sine	theta_velocity=0.6875 frequency_phi=0 amplitude_phi=0 bias_phi=90 phase_shift=0 phase_theta=0								
352	30	0	figure8	frequency=0.5 amplitude_theta=75.0 amplitude_phi=30.0 bias_theta=90.0 bias_phi=90.0 phase_shift=0	phase_shift=0.785							
379	15	0	sine	theta_velocity=0.7 frequency_phi=0.65 amplitude_phi=40 bias_phi=90 phase_shift=0 phase_theta=1.57								
394	5	0	sine	theta_velocity=0.7 frequency_phi=0.5 amplitude_phi=40 bias_phi=90 phase_shift=0 phase_theta=1.57	frequency_phi=0.0 phase_theta=0 							
399	0.1	0.0	sine	bias_phi=90	bias_phi=70						
400	14	0	sine	theta_velocity=0.7	theta_velocity=0.570							
414	8	0.0	sine	robot_mask=0,1,1,1,1,1 theta_velocity=0.570 frequency_phi=0 amplitude_phi=0 bias_phi=85 phase_shift=0 phase_theta=0								
422	8	0.0	sine	robot_mask=0,0,1,1,1,1								
430	8	0.0	sine	robot_mask=0,0,0,1,1,1								
438	8	0.0	sine	robot_mask=0,0,0,0,1,1								
446	8	0.0	sine	robot_mask=0,0,0,0,0,1								
455	20	0.0	sine	robot_mask=0,0,0,0,0,0																	
475	120	0.0	sine	robot_mask=0,0,0,0,0,0 theta_velocity=0.0
